1_num	2_andr_10KHz_time_nanosec	3_andr_100KHz_time_nanosec	4_andr_1000KHz_time_nanosec	5_disc_10KHz_time_nanosec	6_disc_100KHz_time_nanosec	7_disc_1000KHz_time_nanosec	8_ram_10KHz_time_nanosec	9_two_10KHz_time_nanosec	10_two_100KHz_time_nanosec	11_two_1000KHz_time_nanosec
248	145110016	98099968	inf	2529792	14729984	64179968	271050240	770048	61929984	130810112
249	145149952	97629952	inf	1769984	14110208	63889920	278279936	739840	61379840	130659840
250	151160064	97280000	inf	1179904	13670144	62639872	278370048	730112	60979968	130920192
251	150880000	96969984	inf	1239808	13369856	62330112	278230016	740096	60730112	130759936
252	150600192	96680192	inf	1289984	13040128	62030080	281200128	770048	60540160	130680064
253	150329856	96399872	inf	1120000	12610048	61730048	283350016	750080	60260096	130369792
254	150469888	96119808	inf	1299968	12320000	63859968	283300096	750080	60049920	130210048
255	151480064	95830016	inf	1159936	11990016	63159808	285070080	740096	59859968	130080000
256	151209984	95910144	inf	1600000	11579904	62840064	285349888	730112	59849984	130049792
257	150930176	95630080	inf	1979904	11170048	62550016	285720064	740096	59880192	130119936
258	152470016	94899968	inf	2190080	10710016	62029824	289920000	760064	62259968	129839872
259	154319872	94609920	inf	2370048	9969920	61149952	290400000	760064	62700032	129530112
260	154000128	94329856	inf	2510080	9480192	61120000	292400128	739840	63689984	129199872
261	157719808	94020096	inf	2379776	8369920	60859904	292599808	729856	65280000	128899840
262	157529856	93740032	inf	1689856	7959808	60570112	296069888	759808	66920192	128800000
263	157250048	93370112	inf	1699840	11200000	61270016	297080064	729856	67420160	128840192
264	158510080	92979968	inf	1390080	11320064	61179904	296589824	759808	67520000	128549888
265	158230016	92969984	inf	1509888	11689984	61230080	296219904	739840	67360000	128219904
266	158309888	92370176	inf	2119936	17209856	61560064	296140032	739840	67200000	127880192
267	158040064	92120064	inf	2109952	17159936	63340032	299849984	760064	69050112	127719936
268	158060032	91229952	inf	2300160	16930048	64300032	302650112	750080	70510080	130099968
269	157870080	90949888	inf	2089984	17890048	63180032	302510080	760064	72079872	130729984
270	173330176	90640128	inf	1849856	18349824	64420096	302390016	750080	75790080	132230144
271	175219968	90349824	inf	1509888	20249856	64359936	302060032	730112	77370112	132920064
272	174959872	90020096	inf	1410048	24819968	64950016	304960000	740096	79670016	133250048
273	174720000	89740032	inf	1010176	24429824	64679936	304829952	740096	80790016	133679872
274	174419968	89380096	inf	1209856	23970048	63049984	304659968	800000	81520128	134499840
275	175979776	89070080	inf	1110016	22050048	62749952	304209920	750080	82470144	135310080
276	175709952	88790016	inf	1149952	24320000	62470144	304160000	740096	83400192	135410176
277	175429888	88470016	inf	1519872	25700096	62169856	303759872	770048	84189952	135629824
278	175150080	88009984	inf	1560064	25790208	61540096	303950080	740096	84109824	137519872
279	174889984	87580160	inf	1630208	25489920	60790016	303859968	780032	88659968	138960128
280	174619904	86839808	inf	1590016	25190144	60449792	303529984	750080	89670144	141859840
281	174339840	86130176	inf	1449984	24860160	65499904	304060160	739840	90899968	142970112
282	174060032	86860032	inf	1740032	25270016	66980096	303889920	770048	91010048	144420096
283	173789952	87260160	inf	2530048	25280000	66699776	304000000	769792	90850048	147720192
284	173510144	86919936	inf	2880000	26340096	66409984	303650048	749824	90680064	150800128
285	173230080	86729984	inf	3340032	28759808	66119936	303299840	729856	90510080	152039936
286	172969984	84640000	inf	4009984	28359936	65580032	323059968	729856	90220032	153449984
287	172669952	84349952	inf	4649984	27949824	65280000	322889984	770048	89959936	154919936
288	172869888	84349952	inf	5280000	28140032	64979968	322749952	770048	89769984	155780096
289	172590080	84780032	inf	4829952	28900096	64649984	323069952	780032	89590016	155700224
290	172299776	84470016	inf	4440064	29339904	63879936	322990080	740096	90390016	155589888
291	172019968	84890112	inf	5559808	29129984	63520000	323500032	740096	90220032	157129984
292	171859968	84600064	inf	6009856	29250048	63229952	323390208	740096	90060032	157040128
293	171689984	85090048	inf	5799936	30920192	62939904	323449856	740096	89880064	157469952
294	171360000	84809984	inf	6670080	30649856	62640128	323849984	780032	89760000	158609920
295	171059968	84500224	inf	6380032	31170048	62320128	323720192	750080	89609984	162630144
296	170770176	84229888	inf	6210048	30810112	62309888	323689984	759808	89429760	163790080
297	170880000	83889920	inf	6649856	31120128	62080000	323599872	739840	89289984	166099968
298	170599936	83460096	inf	5839872	30690048	61809920	323429888	759808	89120000	167520000
299	170349824	83470080	inf	5859840	30310144	64329984	323250176	729856	88969984	168219904
300	170010112	87059968	inf	5570048	29890048	63200000	322899968	739840	88800000	168209920
301	171179776	86770176	inf	4989952	29509888	64509952	322630144	750080	88579840	168540160
302	170909952	86370048	inf	4449792	29040128	63820032	322489856	729856	88320000	169259776
303	170629888	86129920	inf	4370176	28610048	63510016	322190080	750080	88070144	170700032
304	170419968	87750144	inf	4440064	27989760	63219968	322129920	740096	87890176	171810048
305	170130176	87429888	inf	3699968	27640064	65440000	321799936	740096	87749888	172470016
306	171769856	87059968	inf	2870016	27310080	66180096	321430016	750080	87469824	172470016
307	171849984	86780160	inf	2530048	27809792	65829888	321069824	740096	87229952	172829952
308	171569920	86429952	inf	1510144	28489984	65530112	320730112	750080	87100160	172930048
309	172440064	86080000	inf	2550016	28369920	64509952	320510208	770048	86929920	174099968
310	172510208	83899904	inf	2899968	28659968	64470016	320389888	740096	86759936	175440128
311	172229888	83560192	inf	3609856	28450048	64190208	319920128	770048	86469888	176540160
312	173129984	83269888	inf	3810048	28470016	63969792	320179968	750080	86220032	177189888
313	172859904	84369920	3499776	3909888	28150016	66560000	320050176	769792	86169856	177340160
314	172329984	84670208	6330112	4140032	27860224	66249984	319939840	739840	86230016	177329920
315	175020032	84329984	9529856	4109824	25740032	65950208	319369984	759808	86060032	178419968
316	174729984	83919872	17169920	4300032	25379840	65649920	319030016	759808	85880064	179549952
317	176539904	84450048	24110080	4270080	25080064	65369856	318880000	749824	85870080	180209920
318	176480000	85370112	23800064	4489984	32000000	65070080	318540032	749824	87140096	180539904
319	175260160	85099776	24300032	4389888	31709952	64780032	318200064	729856	87189760	180460032
320	175020032	84819968	24009984	4519936	31430144	64179968	318009856	739840	88489984	182389760
321	174739968	88669952	23729920	4150016	31139840	63890176	318550016	749824	89189888	183820032
322	175699968	91470080	23440128	3729920	30280192	63459840	318370048	739840	89740032	186749952
323	175410176	92419840	23300096	3670016	29799936	63120128	319130112	749824	89740032	188189952
324	175010048	93149952	33240064	3610112	29319936	62830080	319020032	740096	89889792	190259968
325	185200128	92889856	33939968	3340032	29020160	62299904	318629888	739840	89730048	190450176
326	184929792	92570112	33649920	3330048	28699904	62000128	318220032	760064	89560064	190369792
327	184640000	92390144	45169920	2749952	27979776	61699840	317980160	740096	89210112	190360064
