num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
291	46020096	2919936	41430016	99330048	76329984	31379968	32899840	59440128	28850176
292	48029952	2970112	41139968	98949888	75740160	31089920	33170176	59150080	28590080
293	47990016	3030016	40849920	98609920	75290112	30799872	33139968	58849792	29089792
294	48230144	3130112	40519936	98309888	74979840	30510080	33410048	58560000	28240128
295	48290048	2700032	40240128	97840128	74640128	29680128	33360128	58269952	28249856
296	48430080	2740224	39950080	97420032	74230016	29359872	32750080	57980160	29510144
297	48800000	3099904	39660032	97050112	73810176	29070080	30269952	57700096	38339840
298	48620032	2299904	39369984	96400128	73510144	28239872	29849856	57369856	38010112
299	49760000	3869952	39079936	96099840	72989952	27680256	29510144	57070080	37669888
300	61440000	4849920	38800128	96879872	72670208	27369984	29159936	56780032	37339904
301	61030144	4450048	38510080	96570112	72250112	27069952	28859904	56489984	37040128
302	60720128	4019968	38189824	96169984	71799808	26780160	28570112	56810240	36749824
303	60429824	4230144	38070016	95779840	71400192	26490112	27719936	57329920	36460032
304	59830016	5410048	39589888	95460096	71099904	26179840	27399936	57020160	36169984
305	59529984	5140224	39310080	95079936	70579968	25920000	26800128	56740096	35840000
306	59209984	5580032	39020032	94679808	69100032	25669888	26479872	56460032	34790144
307	58909952	7000064	38729984	94119936	68790016	25179904	27719936	56179968	34479872
308	58579968	6720000	38370048	93830144	68370176	25920000	27320064	55889920	34089984
309	58129920	6409984	37979904	93359872	68029952	25590016	27030016	55600128	33490176
310	57629952	6899968	37680128	92950016	67670016	25289984	26740224	55310080	32999936
311	55889920	5880064	37280000	92659968	67250176	24999936	26360064	54739968	32630016
312	55580160	5359872	36930048	92369920	66870016	24850176	26019840	54430208	32339968
313	55249920	4999936	37139968	91859968	66560000	25359872	25690112	54129920	32049920
314	54839808	4689920	36809984	91549952	66120192	27249920	24969984	53839872	31710208
315	54560000	4850176	36420096	91159808	65799936	31160064	21719808	53550080	31089920
316	54269952	4289792	36089856	90640128	65499904	31329792	21420032	54619904	30720000
317	53710080	4950016	35759872	89799936	65110016	31020032	21080064	58299904	30429952
318	53400064	4940032	35369984	91609856	64800000	30729984	22490112	58889984	30129920
319	52829952	4900096	35270144	91150080	64500224	30440192	20009984	57270016	29810176
320	52500224	4859904	37489920	90710016	65200128	30139904	19540224	58340096	29200128
321	52160000	5280256	37019904	91180032	65920000	28699904	19229952	58660096	28790016
322	51910144	4999936	36570112	90849792	65969920	28370176	18929920	59009792	28360192
323	51619840	4260096	36280064	90460160	65799936	28609792	18300160	58939904	27770112
324	51290112	4210176	37349888	89959936	65459968	29929984	18880000	62469888	27340032
325	50850048	3320064	37029888	89659904	65040128	29979904	19330048	65260032	26860032
326	50469888	3540224	36740096	89280000	64659968	32359936	20560128	64979968	26419968
327	50170112	3589888	36460032	88839936	64380160	34840064	20700160	65619968	25829888
328	49799936	4829952	36169984	88540160	64080128	34940160	20190208	65339904	25520128
329	49500160	4649984	35859968	88240128	63789824	35820032	20989952	65050112	24979968
330	49200128	6510080	35559936	87759872	63369984	35549952	21519872	65670144	24470016
331	48770048	7069952	37609984	87270144	63069952	35110144	22350080	66240000	24209920
332	48329984	10589952	40450048	86959872	62779904	37080064	22480128	67179776	24250112
333	47960064	11800064	40060160	86469888	62409984	36910080	23159808	68290048	23920128
334	47660032	13520128	39759872	85920000	62089984	37600256	23269888	68470016	23539968
335	47360000	15319808	39469824	85549824	61800192	37309952	21489920	68420096	23090176
336	46969856	18279936	39180032	84549888	61499904	35899904	21570048	68359936	20300032
337	46269952	19340032	38889984	84230144	61209856	34370048	23239936	71699968	19880192
338	45890048	20939776	38610176	83629824	60790016	34400000	22989824	71480064	19079936
